Report ID,Category of Incident,Country of Incident,Date of Incident,Subject,Full Scientific Name,Common Name,Item / Commodity Type,Count,Quantity - Weight,Unit of Weight,Estimated Value,Currency,Value in USD
MOR14841,1. Seizure,Philippines,1/18/2018 0:00,Live and slaughtered marine turtles in Hadj Muhtamad,Cheloniidae,"Marine Turtles, Sea turtles, Tortugas Marinas, Tortues Marines",Individual - Live,,4,Tonnes,,,
MOR14841,1. Seizure,Philippines,1/18/2018 0:00,Live and slaughtered marine turtles in Hadj Muhtamad,Cheloniidae,"Marine Turtles, Sea turtles, Tortugas Marinas, Tortues Marines",Individual - Dead,,4,Tonnes,,,
MOR14910,1. Seizure,Philippines,12/14/2017 0:00,181 dried giant clams in Puerto Princesa City,Tridacna,,Individual - Dead,181,,,,,
MOR14911,1. Seizure,Philippines,12/27/2017 0:00,"12 pcs Apitong lumber in Rizal, Palawan",Dipterocarpus grandiflorus,,Sawn wood,12,,,,,
MOR14938,1. Seizure,United Kingdom of Great Britain and Northern Ireland,12/19/2017 0:00,Taxidermy dealer pleads guilty to trading endangered animals in Avon,Accipiter,,Individual - Dead,4,,,,,
MOR14938,1. Seizure,United Kingdom of Great Britain and Northern Ireland,12/19/2017 0:00,Taxidermy dealer pleads guilty to trading endangered animals in Avon,Bubo bubo,"Eagle Owl, Eurasian Eagle-Owl, Búho real, Grand-duc d'Europe, Hibou grand-duc",Individual - Dead,1,,,,,
MOR14938,1. Seizure,United Kingdom of Great Britain and Northern Ireland,12/19/2017 0:00,Taxidermy dealer pleads guilty to trading endangered animals in Avon,Accipiter nisus,"Eurasian Sparrowhawk, Sparrowhawk, Gavilán común, Épervier d'Europe",Individual - Dead,1,,,,,
MOR14938,1. Seizure,United Kingdom of Great Britain and Northern Ireland,12/19/2017 0:00,Taxidermy dealer pleads guilty to trading endangered animals in Avon,Buteo buteo,"Buzzard, Common Buzzard, Eurasian Buzzard, Busardo ratonero, Ratonero común, Buse variable",Individual - Dead,1,,,,,
MOR14938,1. Seizure,United Kingdom of Great Britain and Northern Ireland,12/19/2017 0:00,Taxidermy dealer pleads guilty to trading endangered animals in Avon,Lutra lutra,"Common Otter, Eurasian Otter, European Otter, European River Otter, Old World Otter, Nutria, Nutria común, Nutria europea, Loutre commune, Loutre de rivière, Loutre d'Europe",Individual - Dead,1,,,,,
MOR14972,1. Seizure,China,5/3/2018 0:00,3 body parts of Manta Rays seized at Gongbei,Manta,,Body parts NES,3,,,,,
MOR14974,1. Seizure,India,4/17/2018 0:00,"6kg of processed seahorses seized from a coach in Mandapam, one suspect arrested",Hippocampus,,Individual - Dead,,6,Kilograms,,,
